Date,Order,Year,Month,Day,DayName,Code,Name,Open,High,Low,Close,Future,Observe,Days,Price,TFARCH,TFBS,BS_L,BS_U,ARCH_L,ARCH_U
2019-12-09,504,2019,12,9,Monday,128940,한미약품,295727.0,295727.0,291625.0,291628.0,False,,,,,,,,,
2019-12-10,505,2019,12,10,Tuesday,128940,한미약품,289348.0,289348.0,260640.0,271580.0,False,,,,,,,,,
2019-12-11,506,2019,12,11,Wednesday,128940,한미약품,270666.0,270666.0,262464.0,267934.0,False,,,,,,,,,
2019-12-12,507,2019,12,12,Thursday,128940,한미약품,269297.0,271576.0,266564.0,268389.0,False,,,,,,,,,
2019-12-13,508,2019,12,13,Friday,128940,한미약품,270209.0,272488.0,269755.0,271124.0,False,,,,,,,,,
2019-12-16,509,2019,12,16,Monday,128940,한미약품,271122.0,273400.0,268387.0,268845.0,False,,,,,,,,,
2019-12-17,510,2019,12,17,Tuesday,128940,한미약품,268844.0,270209.0,267932.0,268845.0,False,,,,,,,,,
2019-12-18,511,2019,12,18,Wednesday,128940,한미약품,269298.0,272944.0,269298.0,271580.0,False,,,,,,,,,
2019-12-19,512,2019,12,19,Thursday,128940,한미약품,272487.0,274765.0,271577.0,273402.0,False,,,,,,,,,
2019-12-20,513,2019,12,20,Friday,128940,한미약품,273856.0,274311.0,272034.0,272947.0,False,,,,,,,,,
2019-12-23,514,2019,12,23,Monday,128940,한미약품,275222.0,280235.0,274767.0,278414.0,False,,,,,,,,,
2019-12-24,515,2019,12,24,Tuesday,128940,한미약품,278867.0,280690.0,276132.0,277047.0,False,,,,,,,,,
2019-12-25,516,2019,12,25,Wednesday,128940,한미약품,276135.0,279782.0,275680.0,279327.0,False,,,,,,,,,
2019-12-26,517,2019,12,26,Thursday,128940,한미약품,276135.0,279782.0,275680.0,279327.0,False,,,,,,,,,
2019-12-27,518,2019,12,27,Friday,128940,한미약품,254268.0,270971.0,254268.0,267262.0,False,,,,,,,,,
2019-12-30,519,2019,12,30,Monday,128940,한미약품,269118.0,276077.0,268653.0,275151.0,False,,,,,,,,,
2019-12-31,520,2019,12,31,Tuesday,128940,한미약품,274684.0,276540.0,270507.0,272366.0,False,,,,,,,,,
2020-01-01,521,2020,1,1,Wednesday,128940,한미약품,274684.0,276540.0,270507.0,272366.0,False,,,,,,,,,
2020-01-02,522,2020,1,2,Thursday,128940,한미약품,274684.0,276540.0,270507.0,272366.0,False,,,,,,,,,
2020-01-03,523,2020,1,3,Friday,128940,한미약품,277005.0,277470.0,272365.0,275151.0,False,,,,,,,,,
2020-01-06,524,2020,1,6,Monday,128940,한미약품,270046.0,275149.0,268652.0,269118.0,False,,,,,,,,,
2020-01-07,525,2020,1,7,Tuesday,128940,한미약품,271435.0,272827.0,268650.0,270973.0,False,,,,,,,,,
2020-01-08,526,2020,1,8,Wednesday,128940,한미약품,269117.0,269581.0,262157.0,265407.0,False,,,,,,,,,
2020-01-09,527,2020,1,9,Thursday,128940,한미약품,269116.0,270045.0,265867.0,267262.0,False,,,,,,,,,
2020-01-10,528,2020,1,10,Friday,128940,한미약품,267261.0,273293.0,264941.0,271439.0,False,,,,,,,,,
2020-01-13,529,2020,1,13,Monday,128940,한미약품,271898.0,278394.0,271898.0,277005.0,False,,,,,,,,,
2020-01-14,530,2020,1,14,Tuesday,128940,한미약품,278395.0,280252.0,272828.0,274686.0,False,,,,,,,,,
2020-01-15,531,2020,1,15,Wednesday,128940,한미약품,275613.0,278862.0,273758.0,277935.0,False,,,,,,,,,
2020-01-16,532,2020,1,16,Thursday,128940,한미약품,277931.0,277931.0,274682.0,276077.0,False,,,,,,,,,
2020-01-17,533,2020,1,17,Friday,128940,한미약품,275612.0,277468.0,272828.0,273294.0,False,,,,,,,,,
2020-01-20,534,2020,1,20,Monday,128940,한미약품,273757.0,276075.0,270045.0,273294.0,False,,,,,,,,,
2020-01-21,535,2020,1,21,Tuesday,128940,한미약품,271901.0,277469.0,271901.0,273759.0,False,,,,,,,,,
2020-01-22,536,2020,1,22,Wednesday,128940,한미약품,276541.0,281180.0,275150.0,277935.0,False,,,,,,,,,
2020-01-23,537,2020,1,23,Thursday,128940,한미약품,277003.0,277003.0,271899.0,273294.0,False,,,,,,,,,
2020-01-24,538,2020,1,24,Friday,128940,한미약품,270972.0,274221.0,264477.0,266335.0,False,,,,,,,,,
2020-01-27,539,2020,1,27,Monday,128940,한미약품,270972.0,274221.0,264477.0,266335.0,False,,,,,,,,,
2020-01-28,540,2020,1,28,Tuesday,128940,한미약품,270972.0,274221.0,264477.0,266335.0,False,,,,,,,,,
2020-01-29,541,2020,1,29,Wednesday,128940,한미약품,267725.0,268188.0,262620.0,267262.0,False,,,,,,,,,
2020-01-30,542,2020,1,30,Thursday,128940,한미약품,264476.0,272828.0,264012.0,267262.0,False,,,,,,,,,
2020-01-31,543,2020,1,31,Friday,128940,한미약품,267725.0,270045.0,260764.0,260766.0,False,,,,,,,,,
2020-02-03,544,2020,2,3,Monday,128940,한미약품,257980.0,262620.0,255197.0,260766.0,False,,,,,,,,,
2020-02-04,545,2020,2,4,Tuesday,128940,한미약품,260301.0,264477.0,260301.0,263550.0,False,,,,,,,,,
2020-02-05,546,2020,2,5,Wednesday,128940,한미약품,264012.0,266332.0,260300.0,261230.0,False,,,,,,,,,
2020-02-06,547,2020,2,6,Thursday,128940,한미약품,264477.0,273293.0,262157.0,271439.0,False,,,,,,,,,
2020-02-07,548,2020,2,7,Friday,128940,한미약품,268653.0,276077.0,268653.0,275151.0,False,,,,,,,,,
2020-02-10,549,2020,2,10,Monday,128940,한미약품,275149.0,283965.0,271437.0,276542.0,False,,,,,,,,,
2020-02-11,550,2020,2,11,Tuesday,128940,한미약품,277468.0,281644.0,276540.0,278398.0,False,,,,,,,,,
2020-02-12,551,2020,2,12,Wednesday,128940,한미약품,278397.0,281181.0,277005.0,279327.0,False,,,,,,,,,
2020-02-13,552,2020,2,13,Thursday,128940,한미약품,276540.0,279324.0,273756.0,274686.0,False,,,,,,,,,
2020-02-14,553,2020,2,14,Friday,128940,한미약품,272830.0,274685.0,270509.0,271439.0,False,,,,,,,,,
2020-02-17,554,2020,2,17,Monday,128940,한미약품,269580.0,273291.0,268188.0,268190.0,False,,,,,,,,,
2020-02-18,555,2020,2,18,Tuesday,128940,한미약품,267725.0,269116.0,264012.0,264942.0,False,,,,,,,,,
2020-02-19,556,2020,2,19,Wednesday,128940,한미약품,267726.0,269117.0,264477.0,265407.0,False,,,,,,,,,
2020-02-20,557,2020,2,20,Thursday,128940,한미약품,265403.0,265403.0,260300.0,260766.0,False,,,,,,,,,
2020-02-21,558,2020,2,21,Friday,128940,한미약품,259835.0,260299.0,255658.0,256125.0,False,,,,,,,,,
2020-02-24,559,2020,2,24,Monday,128940,한미약품,246843.0,250092.0,242203.0,242206.0,False,,,,,,,,,
2020-02-25,560,2020,2,25,Tuesday,128940,한미약품,238492.0,247773.0,238028.0,246846.0,False,,,,,,,,,
2020-02-26,561,2020,2,26,Wednesday,128940,한미약품,246380.0,248699.0,242668.0,246382.0,False,,,,,,,,,
2020-02-27,562,2020,2,27,Thursday,128940,한미약품,246381.0,257053.0,245453.0,250558.0,False,,,,,,,,,
2020-02-28,563,2020,2,28,Friday,128940,한미약품,246843.0,249164.0,239419.0,242206.0,False,,,,,,,,,
2020-03-02,564,2020,3,2,Monday,128940,한미약품,246379.0,248699.0,241275.0,247310.0,False,,,,,,,,,
2020-03-03,565,2020,3,3,Tuesday,128940,한미약품,249164.0,254268.0,247307.0,247310.0,False,,,,,,,,,
2020-03-04,566,2020,3,4,Wednesday,128940,한미약품,247307.0,252411.0,247307.0,251486.0,False,,,,,,,,,
2020-03-05,567,2020,3,5,Thursday,128940,한미약품,255197.0,264013.0,252412.0,263550.0,False,,,,,,,,,
2020-03-06,568,2020,3,6,Friday,128940,한미약품,260764.0,265403.0,258908.0,260766.0,False,,,,,,,,,
2020-03-09,569,2020,3,9,Monday,128940,한미약품,258444.0,259372.0,251484.0,257054.0,False,,,,,,,,,
2020-03-10,570,2020,3,10,Tuesday,128940,한미약품,257052.0,259373.0,251019.0,258910.0,False,,,,,,,,,
2020-03-11,571,2020,3,11,Wednesday,128940,한미약품,258907.0,262618.0,249163.0,251021.0,False,,,,,,,,,
2020-03-12,572,2020,3,12,Thursday,128940,한미약품,255658.0,255658.0,237562.0,240813.0,False,,,,,,,,,
2020-03-13,573,2020,3,13,Friday,128940,한미약품,214367.0,228750.0,207871.0,223183.0,False,,,,,,,,,
2020-03-16,574,2020,3,16,Monday,128940,한미약품,227357.0,233853.0,223181.0,223647.0,False,,,,,,,,,
2020-03-17,575,2020,3,17,Tuesday,128940,한미약품,212508.0,225500.0,212508.0,222254.0,False,,,,,,,,,
2020-03-18,576,2020,3,18,Wednesday,128940,한미약품,227357.0,230140.0,218542.0,218543.0,False,,,,,,,,,
2020-03-19,577,2020,3,19,Thursday,128940,한미약품,222252.0,224108.0,198124.0,202302.0,False,,,,,,,,,
2020-03-20,578,2020,3,20,Friday,128940,한미약품,203692.0,211581.0,198589.0,210654.0,False,,,,,,,,,
2020-03-23,579,2020,3,23,Monday,128940,한미약품,200445.0,206476.0,198124.0,199982.0,False,,,,,,,,,
2020-03-24,580,2020,3,24,Tuesday,128940,한미약품,206943.0,212975.0,203230.0,212975.0,False,,,,,,,,,
2020-03-25,581,2020,3,25,Wednesday,128940,한미약품,223646.0,223646.0,218078.0,223647.0,False,,,,,,,,,
2020-03-26,582,2020,3,26,Thursday,128940,한미약품,227820.0,231067.0,219931.0,225966.0,False,,,,,,,,,
2020-03-27,583,2020,3,27,Friday,128940,한미약품,232925.0,244062.0,222717.0,229679.0,False,,,,,,,,,
2020-03-30,584,2020,3,30,Monday,128940,한미약품,227820.0,231996.0,222716.0,230142.0,False,,,,,,,,,
2020-03-31,585,2020,3,31,Tuesday,128940,한미약품,234782.0,244063.0,231998.0,242671.0,False,,,,,,,,,
2020-04-01,586,2020,4,1,Wednesday,128940,한미약품,244061.0,244988.0,227821.0,227822.0,False,,,,,,,,,
2020-04-02,587,2020,4,2,Thursday,128940,한미약품,225964.0,229677.0,217612.0,228286.0,False,,,,,,,,,
2020-04-03,588,2020,4,3,Friday,128940,한미약품,227356.0,235707.0,227356.0,231070.0,False,,,,,,,,,
2020-04-06,589,2020,4,6,Monday,128940,한미약품,235245.0,241741.0,235245.0,239422.0,False,,,,,,,,,
2020-04-07,590,2020,4,7,Tuesday,128940,한미약품,247772.0,247772.0,239420.0,243598.0,False,,,,,,,,,
